Test,Frequency,Fixtures
Lav_Faucet_All_Freq_avg_ambient_4b1,f200,14.96294443
Lav_Faucet_All_Freq_avg_ambient_4b1,f250,15.89023781
Lav_Faucet_All_Freq_avg_ambient_4b1,f315,16.5091335
Lav_Faucet_All_Freq_avg_ambient_4b1,f400,11.23364514
Lav_Faucet_All_Freq_avg_ambient_4b1,f500,11.82922757
Lav_Faucet_All_Freq_avg_ambient_4b1,f630,13.61412757
Lav_Faucet_All_Freq_avg_ambient_4b1,f800,11.35427535
Lav_Faucet_All_Freq_avg_ambient_4b1,f1000,11.54834343
Lav_Faucet_All_Freq_avg_ambient_4b1,f1250,10.41948476
Lav_Faucet_All_Freq_avg_ambient_4b1,f1600,9.213353814
Lav_Faucet_All_Freq_avg_ambient_4b1,f2000,9.861898268
Lav_Faucet_All_Freq_avg_ambient_4b1,f2500,11.63362515
Lav_Faucet_All_Freq_avg_ambient_4b1,f3100,12.21088532
Lav_Faucet_All_Freq_avg_ambient_4b1,f4000,14.02887963
Lav_Faucet_All_Freq_avg_ambient_4b1,f5000,17.18515861
Lav_Faucet_All_Freq_avg_ambient_4b1,f6300,22.33539729
Lav_Faucet_All_Freq_avg_ambient_4b1,f8000,20.27343627
Lav_Faucet_All_Freq_avg_ambient_4b1,f10000,14.67747364
Lav_Faucet_All_Freq_avg_contact_4b2,f25,9.092733009
Lav_Faucet_All_Freq_avg_contact_4b2,f31_5,8.609924822
Lav_Faucet_All_Freq_avg_contact_4b2,f40,10.50971239
Lav_Faucet_All_Freq_avg_contact_4b2,f50,13.26410389
Lav_Faucet_All_Freq_avg_contact_4b2,f63,17.22748695
Lav_Faucet_All_Freq_avg_contact_4b2,f80,24.1958767
Lav_Faucet_All_Freq_avg_contact_4b2,f100,30.18200067
Lav_Faucet_All_Freq_avg_contact_4b2,f125,33.96213413
Lav_Faucet_All_Freq_avg_contact_4b2,f160,42.78256009
Lav_Faucet_All_Freq_avg_contact_4b2,f200,41.35086827
Lav_Faucet_All_Freq_avg_contact_4b2,f250,42.76245418
Lav_Faucet_All_Freq_avg_contact_4b2,f315,43.40779665
Lav_Faucet_All_Freq_avg_contact_4b2,f400,36.97441833
Lav_Faucet_All_Freq_avg_contact_4b2,f500,34.83803524
Lav_Faucet_All_Freq_avg_contact_4b2,f630,41.92223378
Lav_Faucet_All_Freq_avg_contact_4b2,f800,31.14663671
Lav_Faucet_All_Freq_avg_contact_4b2,f1000,22.05650241
Lav_Faucet_All_Freq_avg_contact_4b2,f1250,19.09061054
Lav_Faucet_All_Freq_avg_contact_4b2,f1600,12.76798753
Lav_Faucet_All_Freq_avg_contact_4b2,f2000,10.04322767
Lav_Faucet_All_Freq_avg_contact_4b2,f2500,10.82692135
Lav_Faucet_All_Freq_avg_contact_4b2,f3100,8.750145205
Lav_Faucet_All_Freq_avg_contact_4b2,f4000,6.81162954
Lav_Faucet_All_Freq_avg_contact_4b2,f5000,5.083769391
Lav_Faucet_All_Freq_avg_contact_4b2,f6300,4.084855285
Lav_Faucet_All_Freq_avg_contact_4b2,f8000,4.055536798
Lav_Faucet_All_Freq_avg_contact_4b2,f10000,5.537707213
Lav_Faucet_All_Freq_avg_ambient_4b2,f25,9.42287292
Lav_Faucet_All_Freq_avg_ambient_4b2,f31_5,8.032394604
Lav_Faucet_All_Freq_avg_ambient_4b2,f40,8.46923194
Lav_Faucet_All_Freq_avg_ambient_4b2,f50,10.84927148
Lav_Faucet_All_Freq_avg_ambient_4b2,f63,12.77706891
Lav_Faucet_All_Freq_avg_ambient_4b2,f80,11.52285203
Lav_Faucet_All_Freq_avg_ambient_4b2,f100,12.02510201
Lav_Faucet_All_Freq_avg_ambient_4b2,f125,13.54010382
Lav_Faucet_All_Freq_avg_ambient_4b2,f160,11.89644959
Lav_Faucet_All_Freq_avg_ambient_4b2,f200,13.95085915
Lav_Faucet_All_Freq_avg_ambient_4b2,f250,15.35847956
Lav_Faucet_All_Freq_avg_ambient_4b2,f315,15.51126204
Lav_Faucet_All_Freq_avg_ambient_4b2,f400,10.92648903
Lav_Faucet_All_Freq_avg_ambient_4b2,f500,11.37139982
Lav_Faucet_All_Freq_avg_ambient_4b2,f630,13.18788289
Lav_Faucet_All_Freq_avg_ambient_4b2,f800,11.35478902
Lav_Faucet_All_Freq_avg_ambient_4b2,f1000,11.52458019
Lav_Faucet_All_Freq_avg_ambient_4b2,f1250,10.23551419
Lav_Faucet_All_Freq_avg_ambient_4b2,f1600,9.275951936
Lav_Faucet_All_Freq_avg_ambient_4b2,f2000,9.841184696
Lav_Faucet_All_Freq_avg_ambient_4b2,f2500,11.78560109
Lav_Faucet_All_Freq_avg_ambient_4b2,f3100,12.46677769
Lav_Faucet_All_Freq_avg_ambient_4b2,f4000,14.1621403
Lav_Faucet_All_Freq_avg_ambient_4b2,f5000,17.01539535
Lav_Faucet_All_Freq_avg_ambient_4b2,f6300,22.20844035
Lav_Faucet_All_Freq_avg_ambient_4b2,f8000,20.07548474
Lav_Faucet_All_Freq_avg_ambient_4b2,f10000,14.56405276
Kitchen_Sink_All_Freq_avg_contact_4c1,f25,9.408173647
Kitchen_Sink_All_Freq_avg_contact_4c1,f31_5,9.793368605
Kitchen_Sink_All_Freq_avg_contact_4c1,f40,10.74279008
Kitchen_Sink_All_Freq_avg_contact_4c1,f50,14.26599364
Kitchen_Sink_All_Freq_avg_contact_4c1,f63,17.92976995
Kitchen_Sink_All_Freq_avg_contact_4c1,f80,23.44013513
Kitchen_Sink_All_Freq_avg_contact_4c1,f100,27.867129
Kitchen_Sink_All_Freq_avg_contact_4c1,f125,32.36699484
Kitchen_Sink_All_Freq_avg_contact_4c1,f160,42.24703085
Kitchen_Sink_All_Freq_avg_contact_4c1,f200,39.32518847
Kitchen_Sink_All_Freq_avg_contact_4c1,f250,37.26947809
Kitchen_Sink_All_Freq_avg_contact_4c1,f315,40.78716431
Kitchen_Sink_All_Freq_avg_contact_4c1,f400,47.13913787
Kitchen_Sink_All_Freq_avg_contact_4c1,f500,45.19060576
Kitchen_Sink_All_Freq_avg_contact_4c1,f630,49.88700229
Kitchen_Sink_All_Freq_avg_contact_4c1,f800,39.57101825
Kitchen_Sink_All_Freq_avg_contact_4c1,f1000,30.50728935
Kitchen_Sink_All_Freq_avg_contact_4c1,f1250,31.14512118
Kitchen_Sink_All_Freq_avg_contact_4c1,f1600,21.18766828
Kitchen_Sink_All_Freq_avg_contact_4c1,f2000,19.68489908
Kitchen_Sink_All_Freq_avg_contact_4c1,f2500,20.26593778
Kitchen_Sink_All_Freq_avg_contact_4c1,f3100,14.83866436
Kitchen_Sink_All_Freq_avg_contact_4c1,f4000,11.69903185
Kitchen_Sink_All_Freq_avg_contact_4c1,f5000,8.132971636
Kitchen_Sink_All_Freq_avg_contact_4c1,f6300,5.517657813
Kitchen_Sink_All_Freq_avg_contact_4c1,f8000,5.049381204
Kitchen_Sink_All_Freq_avg_contact_4c1,f10000,5.993723822
Kitchen_Sink_All_Freq_avg_ambient_4c1,f25,9.231918633
Kitchen_Sink_All_Freq_avg_ambient_4c1,f31_5,7.636674304
Kitchen_Sink_All_Freq_avg_ambient_4c1,f40,7.600963355
Kitchen_Sink_All_Freq_avg_ambient_4c1,f50,9.516423484
Kitchen_Sink_All_Freq_avg_ambient_4c1,f63,10.23904224
Kitchen_Sink_All_Freq_avg_ambient_4c1,f80,11.39595463
Kitchen_Sink_All_Freq_avg_ambient_4c1,f100,12.42635605
Kitchen_Sink_All_Freq_avg_ambient_4c1,f125,13.31828671
Kitchen_Sink_All_Freq_avg_ambient_4c1,f160,14.85317308
Kitchen_Sink_All_Freq_avg_ambient_4c1,f200,13.78222737
Kitchen_Sink_All_Freq_avg_ambient_4c1,f250,12.4601347
Kitchen_Sink_All_Freq_avg_ambient_4c1,f315,12.53686272
Kitchen_Sink_All_Freq_avg_ambient_4c1,f400,16.55029594
Kitchen_Sink_All_Freq_avg_ambient_4c1,f500,16.10219185
Kitchen_Sink_All_Freq_avg_ambient_4c1,f630,17.27168788
Kitchen_Sink_All_Freq_avg_ambient_4c1,f800,14.99198391
Kitchen_Sink_All_Freq_avg_ambient_4c1,f1000,14.47949859
Kitchen_Sink_All_Freq_avg_ambient_4c1,f1250,13.63279932
Kitchen_Sink_All_Freq_avg_ambient_4c1,f1600,11.01737183
Kitchen_Sink_All_Freq_avg_ambient_4c1,f2000,13.88426229
Kitchen_Sink_All_Freq_avg_ambient_4c1,f2500,14.5452849
Kitchen_Sink_All_Freq_avg_ambient_4c1,f3100,12.96160932
Kitchen_Sink_All_Freq_avg_ambient_4c1,f4000,14.64824495
Kitchen_Sink_All_Freq_avg_ambient_4c1,f5000,15.83485743
Kitchen_Sink_All_Freq_avg_ambient_4c1,f6300,17.27914478
Kitchen_Sink_All_Freq_avg_ambient_4c1,f8000,16.27419726
Kitchen_Sink_All_Freq_avg_ambient_4c1,f10000,12.6770406
Kitchen_Sink_All_Freq_avg_contact_4c2,f25,11.04867927
Kitchen_Sink_All_Freq_avg_contact_4c2,f31_5,11.4204258
Kitchen_Sink_All_Freq_avg_contact_4c2,f40,11.89746343
Kitchen_Sink_All_Freq_avg_contact_4c2,f50,16.04953256
Kitchen_Sink_All_Freq_avg_contact_4c2,f63,20.79057892
Kitchen_Sink_All_Freq_avg_contact_4c2,f80,27.52950953
Kitchen_Sink_All_Freq_avg_contact_4c2,f100,29.53904845
Kitchen_Sink_All_Freq_avg_contact_4c2,f125,33.69248198
Kitchen_Sink_All_Freq_avg_contact_4c2,f160,43.57443049
Kitchen_Sink_All_Freq_avg_contact_4c2,f200,44.62777001
Kitchen_Sink_All_Freq_avg_contact_4c2,f250,43.77833631
Kitchen_Sink_All_Freq_avg_contact_4c2,f315,45.94428575
Kitchen_Sink_All_Freq_avg_contact_4c2,f400,50.83311175
Kitchen_Sink_All_Freq_avg_contact_4c2,f500,49.80434364
Kitchen_Sink_All_Freq_avg_contact_4c2,f630,54.34679127
Kitchen_Sink_All_Freq_avg_contact_4c2,f800,44.23143611
Kitchen_Sink_All_Freq_avg_contact_4c2,f1000,34.94728795
Kitchen_Sink_All_Freq_avg_contact_4c2,f1250,35.37846886
Kitchen_Sink_All_Freq_avg_contact_4c2,f1600,27.74083657
Kitchen_Sink_All_Freq_avg_contact_4c2,f2000,24.63284824
Kitchen_Sink_All_Freq_avg_contact_4c2,f2500,25.83634012
Kitchen_Sink_All_Freq_avg_contact_4c2,f3100,19.96591643
Kitchen_Sink_All_Freq_avg_contact_4c2,f4000,19.0076608
Kitchen_Sink_All_Freq_avg_contact_4c2,f5000,14.25838913
Kitchen_Sink_All_Freq_avg_contact_4c2,f6300,7.973503634
