Test,Frequency,Fixtures
Lav_Faucet Closest_Contact_Tst_5a,f2000,7.91239568
Lav_Faucet Closest_Contact_Tst_5a,f2500,10.16118871
Lav_Faucet Closest_Contact_Tst_5a,f3100,8.956927919
Lav_Faucet Closest_Contact_Tst_5a,f4000,7.773558266
Lav_Faucet Closest_Contact_Tst_5a,f5000,5.04759944
Lav_Faucet Closest_Contact_Tst_5a,f6300,3.028193835
Lav_Faucet Closest_Contact_Tst_5a,f8000,3.36566352
Lav_Faucet Closest_Contact_Tst_5a,f10000,5.34166919
Lav_Faucet Closest_Ambient_Tst_5a,f25,13.56264133
Lav_Faucet Closest_Ambient_Tst_5a,f31_5,12.14765304
Lav_Faucet Closest_Ambient_Tst_5a,f40,9.53002291
Lav_Faucet Closest_Ambient_Tst_5a,f50,11.68143878
Lav_Faucet Closest_Ambient_Tst_5a,f63,10.62989473
Lav_Faucet Closest_Ambient_Tst_5a,f80,10.52172813
Lav_Faucet Closest_Ambient_Tst_5a,f100,10.61708887
Lav_Faucet Closest_Ambient_Tst_5a,f125,10.83211173
Lav_Faucet Closest_Ambient_Tst_5a,f160,10.6002142
Lav_Faucet Closest_Ambient_Tst_5a,f200,10.94834292
Lav_Faucet Closest_Ambient_Tst_5a,f250,14.29378192
Lav_Faucet Closest_Ambient_Tst_5a,f315,15.28426365
Lav_Faucet Closest_Ambient_Tst_5a,f400,12.80419324
Lav_Faucet Closest_Ambient_Tst_5a,f500,15.88079184
Lav_Faucet Closest_Ambient_Tst_5a,f630,11.93392463
Lav_Faucet Closest_Ambient_Tst_5a,f800,15.58281878
Lav_Faucet Closest_Ambient_Tst_5a,f1000,14.43609052
Lav_Faucet Closest_Ambient_Tst_5a,f1250,14.85788772
Lav_Faucet Closest_Ambient_Tst_5a,f1600,14.59631873
Lav_Faucet Closest_Ambient_Tst_5a,f2000,15.30447916
Lav_Faucet Closest_Ambient_Tst_5a,f2500,17.54236877
Lav_Faucet Closest_Ambient_Tst_5a,f3100,19.20090133
Lav_Faucet Closest_Ambient_Tst_5a,f4000,21.63542854
Lav_Faucet Closest_Ambient_Tst_5a,f5000,25.43278825
Lav_Faucet Closest_Ambient_Tst_5a,f6300,29.60634135
Lav_Faucet Closest_Ambient_Tst_5a,f8000,28.30803685
Lav_Faucet Closest_Ambient_Tst_5a,f10000,22.6993202
Hose_Contact_Tst_1b,f25,24.16889733
Hose_Contact_Tst_1b,f31_5,32.31024567
Hose_Contact_Tst_1b,f40,37.03605881
Hose_Contact_Tst_1b,f50,39.68695219
Hose_Contact_Tst_1b,f63,45.62951848
Hose_Contact_Tst_1b,f80,49.37290252
Hose_Contact_Tst_1b,f100,51.232501
Hose_Contact_Tst_1b,f125,60.26016567
Hose_Contact_Tst_1b,f160,63.04685862
Hose_Contact_Tst_1b,f200,60.04954957
Hose_Contact_Tst_1b,f250,61.46778833
Hose_Contact_Tst_1b,f315,61.39182681
Hose_Contact_Tst_1b,f400,67.66749476
Hose_Contact_Tst_1b,f500,66.66385981
Hose_Contact_Tst_1b,f630,63.66497143
Hose_Contact_Tst_1b,f800,61.76054581
Hose_Contact_Tst_1b,f1000,55.69302762
Hose_Contact_Tst_1b,f1250,51.00804905
Hose_Contact_Tst_1b,f1600,48.15381933
Hose_Contact_Tst_1b,f2000,47.58013624
Hose_Contact_Tst_1b,f2500,45.6472767
Hose_Contact_Tst_1b,f3100,44.35943737
Hose_Contact_Tst_1b,f4000,39.59766837
Hose_Contact_Tst_1b,f5000,34.56416016
Hose_Contact_Tst_1b,f6300,30.65708354
Hose_Contact_Tst_1b,f8000,26.72838934
Hose_Contact_Tst_1b,f10000,25.85757676
Hose_Ambient_Tst_1b,f25,9.842932995
Hose_Ambient_Tst_1b,f31_5,12.78036886
Hose_Ambient_Tst_1b,f40,11.91417905
Hose_Ambient_Tst_1b,f50,13.59950243
Hose_Ambient_Tst_1b,f63,18.13184438
Hose_Ambient_Tst_1b,f80,20.51580476
Hose_Ambient_Tst_1b,f100,20.44084924
Hose_Ambient_Tst_1b,f125,22.540449
Hose_Ambient_Tst_1b,f160,23.13769305
Hose_Ambient_Tst_1b,f200,24.60856833
Hose_Ambient_Tst_1b,f250,25.05218281
Hose_Ambient_Tst_1b,f315,24.73568778
Hose_Ambient_Tst_1b,f400,32.75701781
Hose_Ambient_Tst_1b,f500,35.40357417
Hose_Ambient_Tst_1b,f630,27.52565348
Hose_Ambient_Tst_1b,f800,33.65019233
Hose_Ambient_Tst_1b,f1000,35.36960624
Hose_Ambient_Tst_1b,f1250,29.2271968
Hose_Ambient_Tst_1b,f1600,30.99946748
Hose_Ambient_Tst_1b,f2000,31.23112495
Hose_Ambient_Tst_1b,f2500,28.90180588
Hose_Ambient_Tst_1b,f3100,26.93503414
Hose_Ambient_Tst_1b,f4000,25.72065033
Hose_Ambient_Tst_1b,f5000,26.90531326
Hose_Ambient_Tst_1b,f6300,28.29561152
Hose_Ambient_Tst_1b,f8000,26.74676457
Hose_Ambient_Tst_1b,f10000,18.57308179
Hose_Contact_Tst_2b,f25,24.5816037
Hose_Contact_Tst_2b,f31_5,32.20396295
Hose_Contact_Tst_2b,f40,37.9515019
Hose_Contact_Tst_2b,f50,40.5853387
Hose_Contact_Tst_2b,f63,46.5662006
Hose_Contact_Tst_2b,f80,51.91375965
Hose_Contact_Tst_2b,f100,52.59607485
Hose_Contact_Tst_2b,f125,62.5814088
Hose_Contact_Tst_2b,f160,65.8424991
Hose_Contact_Tst_2b,f200,59.4171345
Hose_Contact_Tst_2b,f250,62.302129
Hose_Contact_Tst_2b,f315,63.5899226
Hose_Contact_Tst_2b,f400,69.51463135
Hose_Contact_Tst_2b,f500,69.35887205
Hose_Contact_Tst_2b,f630,65.66770465
Hose_Contact_Tst_2b,f800,64.3150217
Hose_Contact_Tst_2b,f1000,58.10252315
Hose_Contact_Tst_2b,f1250,53.6004846
Hose_Contact_Tst_2b,f1600,51.4860265
Hose_Contact_Tst_2b,f2000,51.10680315
Hose_Contact_Tst_2b,f2500,48.93442065
Hose_Contact_Tst_2b,f3100,46.8991237
Hose_Contact_Tst_2b,f4000,42.4713356
Hose_Contact_Tst_2b,f5000,37.3094152
Hose_Contact_Tst_2b,f6300,33.67582145
Hose_Contact_Tst_2b,f8000,28.7685282
Hose_Contact_Tst_2b,f10000,27.9372892
Hose_Ambient_Tst_2b,f25,10.1230631
Hose_Ambient_Tst_2b,f31_5,11.54231782
Hose_Ambient_Tst_2b,f40,11.90228083
Hose_Ambient_Tst_2b,f50,13.74431392
Hose_Ambient_Tst_2b,f63,19.73200105
Hose_Ambient_Tst_2b,f80,21.9132176
Hose_Ambient_Tst_2b,f100,21.3997565
Hose_Ambient_Tst_2b,f125,23.44520025
Hose_Ambient_Tst_2b,f160,24.5951493
Hose_Ambient_Tst_2b,f200,24.26928825
Hose_Ambient_Tst_2b,f250,25.38760175
Hose_Ambient_Tst_2b,f315,26.44134345
Hose_Ambient_Tst_2b,f400,34.6809222
Hose_Ambient_Tst_2b,f500,37.90075725
Hose_Ambient_Tst_2b,f630,28.0412972
Hose_Ambient_Tst_2b,f800,36.0370668
Hose_Ambient_Tst_2b,f1000,41.40947715
Hose_Ambient_Tst_2b,f1250,54.9348039
Hose_Ambient_Tst_2b,f1600,38.1332326
Hose_Ambient_Tst_2b,f2000,34.8552448
Hose_Ambient_Tst_2b,f2500,31.9817169
Hose_Ambient_Tst_2b,f3100,28.4221524
Hose_Ambient_Tst_2b,f4000,29.1507303
Hose_Ambient_Tst_2b,f5000,28.88615675
Hose_Ambient_Tst_2b,f6300,30.87391765
Hose_Ambient_Tst_2b,f8000,28.99488725
Hose_Ambient_Tst_2b,f10000,20.2340467
Hose_Contact_Tst_3b,f25,23.90006965
Hose_Contact_Tst_3b,f31_5,30.5533217
Hose_Contact_Tst_3b,f40,36.87704505
Hose_Contact_Tst_3b,f50,39.7788059
Hose_Contact_Tst_3b,f63,46.6356463
Hose_Contact_Tst_3b,f80,50.9635181
Hose_Contact_Tst_3b,f100,51.63181735
Hose_Contact_Tst_3b,f125,62.5854137
Hose_Contact_Tst_3b,f160,66.4390664
Hose_Contact_Tst_3b,f200,59.17329505
Hose_Contact_Tst_3b,f250,61.28857925
Hose_Contact_Tst_3b,f315,62.98563155
Hose_Contact_Tst_3b,f400,69.7162584
Hose_Contact_Tst_3b,f500,69.41452325
